,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
175,13535,2948569,-2147440893,12,12,2,4,13.0,13.0,13,0.0
176,13535,2948569,-2147440892,12,12,2,5,7.0,7.0,7,0.0
177,13535,2949114,-2147440893,6,6,2,19,19.0,19.0,19,0.0
178,13535,2950037,-2147440893,5,3,4,24,1.0,7.0,4,0.6666666666666666
179,13535,2952064,-2147440893,12,12,2,39,38.0,38.0,38,0.0
180,13535,2952552,-2147440893,13,6,3,8,1.0,8.0,3,3.5
181,13535,2952648,-2147440892,14,14,2,15,12.0,12.0,12,0.0
182,13535,2955322,-2147440893,9,9,2,10,10.0,10.0,10,0.0
183,13535,2955322,-2147440892,9,9,2,7,2.0,2.0,2,0.0
184,13535,2959466,-2147440893,14,3,5,8,5.0,8.0,6,2.75
185,13535,2959562,-2147440892,3,3,2,10,3.0,3.0,3,0.0
186,13535,29835,-2147440893,12,11,3,23,10.0,12.0,11,0.5
187,13535,30201,-2147440892,14,14,2,22,21.0,21.0,21,0.0
188,13535,30201,-2147440891,14,7,2,5,5.0,5.0,5,7.0
189,13535,30288,-2147440893,9,9,2,12,12.0,12.0,12,0.0
190,13535,305714882,-2147437246,14,8,4,5,5.0,5.0,5,2.0
191,13535,30825,-2147440893,12,12,2,12,4.0,4.0,4,0.0
192,13535,30825,-2147440892,12,4,4,42,8.0,32.0,21,2.6666666666666665
193,13535,31021,-2147440892,14,9,4,13,1.0,3.0,2,1.6666666666666667
194,13535,31201,-2147440893,9,9,2,19,18.0,18.0,18,0.0
195,13535,31789,-2147440893,14,10,4,18,17.0,19.0,18,1.3333333333333333
196,13535,31800,-2147440893,7,7,2,19,11.0,11.0,11,0.0
197,13535,31852,-2147440892,10,10,2,7,6.0,6.0,6,0.0
198,13535,32400,-2147440893,14,9,6,6,1.0,2.0,1,1.0
199,13535,32400,-2147440892,4,4,2,13,2.0,2.0,2,0.0
200,13535,32522816,-2147440892,13,3,18,3,1.0,4.0,2,0.5882352941176471
201,13535,32784,-2147440893,13,9,2,18,15.0,19.0,17,4.0
202,13535,33136,-2147440891,14,5,3,2,1.0,1.0,1,4.5
203,13535,33333110,-2147440893,13,3,19,15,6.0,15.0,13,0.5555555555555556
204,13535,33580,-2147440892,12,4,5,4,1.0,3.0,1,2.0
205,13535,33580,-2147440890,13,10,4,17,1.0,2.0,1,1.0
206,13535,33797,-2147440893,12,7,6,29,1.0,10.0,6,1.0
207,13535,34730,-2147440892,5,5,2,8,4.0,4.0,4,0.0
208,13535,34737,-2147440893,10,9,3,18,6.0,10.0,8,0.5
209,13535,34802,-2147440892,9,9,2,24,1.0,1.0,1,0.0
210,13535,34831,-2147440893,4,4,2,41,41.0,41.0,41,0.0
211,13535,35120,-2147440892,10,10,2,19,10.0,10.0,10,0.0
212,13535,35942,-2147440892,13,4,4,4,1.0,3.0,1,3.0
213,13535,38256,-2147440893,13,13,2,20,4.0,4.0,4,0.0
214,13535,3878556,-2147440893,11,11,2,25,4.0,4.0,4,0.0
215,13535,3880435,-2147440891,12,5,3,13,3.0,9.0,5,3.5
216,13535,3886587,-2147440891,9,4,3,13,1.0,3.0,1,2.5
217,13535,3887078,-2147440892,7,7,2,15,12.0,12.0,12,0.0
218,13535,3888663,-2147440893,14,14,2,24,6.0,6.0,6,0.0
219,13535,3888663,-2147440892,14,14,2,8,7.0,7.0,7,0.0
220,13535,3888859,-2147440893,9,9,2,16,6.0,6.0,6,0.0
221,13535,3903085,-2147440893,14,9,3,41,10.0,37.0,19,2.5
222,13535,3905347,-2147440892,13,10,4,67,2.0,2.0,2,1.0
223,13535,3910058,-2147440893,14,9,3,31,20.0,28.0,25,2.5
224,13535,39107,-2147440892,13,3,8,8,4.0,14.0,7,1.4285714285714286
225,13535,39301,-2147440892,10,10,2,13,1.0,1.0,1,0.0
226,13535,4025865,-2147440891,14,4,3,18,8.0,20.0,12,5.0
227,13535,4025865,-2147437246,14,14,2,15,4.0,4.0,4,0.0
228,13535,40281,-2147440893,12,6,2,38,11.0,18.0,14,6.0
229,13535,40432,-2147440893,6,4,2,14,3.0,8.0,5,2.0
230,13535,4107191,-2147440893,14,5,2,7,1.0,3.0,2,9.0
231,13535,41436,-2147440891,14,7,2,4,1.0,4.0,2,7.0
232,13535,41705,-2147440893,14,5,6,3,1.0,2.0,1,1.8
233,13535,42795,-2147440893,14,12,4,30,3.0,33.0,18,0.6666666666666666
234,13535,42795,-2147440892,13,13,2,6,6.0,6.0,6,0.0
235,13535,42911,-2147440893,6,6,2,21,21.0,21.0,21,0.0
236,13535,43038,-2147440893,14,14,2,33,15.0,15.0,15,0.0
237,13535,4321077,-2147440890,8,8,2,15,3.0,3.0,3,0.0
238,13535,4322912,-2147440893,12,12,2,961,1.0,1.0,1,0.0
239,13535,4323086,-2147440891,12,12,2,4,4.0,4.0,4,0.0
240,13535,4324370,-2147437246,10,8,3,3,1.0,3.0,2,1.0
241,13535,4325609,-2147440892,7,7,2,16,6.0,6.0,6,0.0
242,13535,43263,-2147440893,7,7,2,17,6.0,6.0,6,0.0
243,13535,43263,-2147440892,14,7,4,26,7.0,22.0,14,2.3333333333333335
244,13535,43263,-2147437246,7,7,2,10,10.0,10.0,10,0.0
245,13535,4332244,-2147440893,14,7,2,3,1.0,3.0,2,7.0
